No,Date,O1,O2,O3,O4,O5,O6,R1,R2,R3,R4,R5,R6,B1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
25007,2025/1/16,18,21,27,14,7,8,7,8,14,18,21,27,11,95,15.83,35,3,3,0,1,2,3,3,0,4,7,1,1,20,6,0,2,4
25006,2025/1/14,7,1,8,20,22,17,1,7,8,17,20,22,6,75,12.5,25,3,3,0,1,1,3,3,0,5,10,1,1,21,9,0,0,2
25005,2025/1/12,10,19,16,27,28,30,10,16,19,27,28,30,9,130,21.67,30,2,4,-2,1,2,4,2,2,5,7,1,1,20,8,1,1,3
25004,2025/1/9,32,7,17,3,29,27,3,7,17,27,29,32,4,115,19.17,35,5,1,4,4,0,4,2,2,4,9,0,0,29,10,0,1,2
25003,2025/1/7,28,29,19,20,26,10,10,19,20,26,28,29,15,132,22,32,2,4,-2,0,2,5,1,4,4,6,2,2,19,9,0,1,1
25002,2025/1/5,22,15,9,12,26,13,9,12,13,15,22,26,11,97,16.17,27,3,3,0,1,1,2,4,-2,5,7,1,1,17,7,1,1,0
25001,2025/1/2,22,18,2,33,3,17,2,3,17,18,22,33,16,95,15.83,25,3,3,0,1,1,4,2,2,4,6,2,2,31,14,0,0,3
24151,2024/12/31,10,29,19,16,32,5,5,10,16,19,29,32,4,111,18.5,31,3,3,0,1,1,3,3,0,5,8,0,0,27,10,1,1,1
24150,2024/12/29,32,20,22,14,13,26,13,14,20,22,26,32,2,127,21.17,17,1,5,-4,0,4,4,2,2,5,7,1,1,19,6,0,1,0
24149,2024/12/26,18,3,16,17,22,9,3,9,16,17,18,22,16,85,14.17,35,3,3,0,1,1,3,3,0,6,7,2,1,19,7,0,1,4
24148,2024/12/24,15,6,23,21,16,2,2,6,15,16,21,23,11,83,13.83,23,3,3,0,1,1,2,4,-2,5,10,1,1,21,9,2,2,2
24147,2024/12/22,30,5,11,21,13,16,5,11,13,16,21,30,10,96,16,16,4,2,2,2,0,2,4,-2,5,8,0,0,25,9,0,1,2
24146,2024/12/19,11,2,32,22,4,27,2,4,11,22,27,32,10,98,16.33,18,2,4,-2,0,1,3,3,0,4,9,0,0,30,11,1,1,3
24145,2024/12/17,1,3,22,30,16,23,1,3,16,22,23,30,3,95,15.83,15,3,3,0,1,1,3,3,0,5,9,1,1,29,13,1,1,3
24144,2024/12/15,17,30,20,2,11,9,2,9,11,17,20,30,11,89,14.83,19,3,3,0,2,1,3,3,0,5,9,0,0,28,10,2,3,0
24143,2024/12/12,30,2,5,33,22,11,2,5,11,22,30,33,10,103,17.17,13,3,3,0,1,1,3,3,0,5,7,0,0,31,11,0,1,2
24142,2024/12/10,21,13,4,22,6,25,4,6,13,21,22,25,6,91,15.17,21,3,3,0,1,1,3,3,0,6,9,1,1,21,8,0,0,2
24141,2024/12/8,15,1,7,24,2,29,1,2,7,15,24,29,12,78,13,28,4,2,2,1,0,2,4,-2,6,7,1,1,28,9,0,1,1
24140,2024/12/5,7,22,26,8,4,17,4,7,8,17,22,26,15,84,14,34,2,4,-2,0,1,3,3,0,5,7,1,1,22,9,0,1,2
24139,2024/12/3,23,22,20,29,16,15,15,16,20,22,23,29,14,125,20.83,25,3,3,0,1,2,4,2,2,6,6,2,2,14,6,0,0,3
24138,2024/12/1,21,2,28,7,27,11,2,7,11,21,27,28,2,96,16,26,4,2,2,3,0,3,3,0,4,10,1,1,26,10,0,1,3
24137,2024/11/28,19,4,10,27,9,26,4,9,10,19,26,27,12,95,15.83,35,3,3,0,0,0,3,3,0,5,8,2,2,23,9,0,1,4
24136,2024/11/26,25,26,11,21,15,3,3,11,15,21,25,26,3,101,16.83,21,5,1,4,4,0,3,3,0,4,8,1,1,23,8,1,1,0
24135,2024/11/24,11,18,5,17,30,31,5,11,17,18,30,31,13,112,18.67,22,4,2,2,2,1,4,2,2,5,5,2,2,26,12,0,1,2
24134,2024/11/21,20,4,18,13,2,16,2,4,13,16,18,20,16,73,12.17,23,1,5,-4,0,3,2,4,-2,6,6,0,0,18,9,0,0,2
24133,2024/11/19,1,33,27,15,30,11,1,11,15,27,30,33,1,117,19.5,17,5,1,4,3,0,3,3,0,5,9,0,0,32,12,3,3,1
24132,2024/11/17,25,27,33,1,28,4,1,4,25,27,28,33,3,118,19.67,28,4,2,2,1,0,4,2,2,6,8,1,1,32,21,0,1,2
24131,2024/11/14,32,4,11,5,20,15,4,5,11,15,20,32,13,87,14.5,17,3,3,0,2,1,2,4,-2,5,10,1,1,28,12,0,0,2
24130,2024/11/12,1,12,8,19,17,24,1,8,12,17,19,24,16,81,13.5,31,3,3,0,1,1,3,3,0,6,5,0,0,23,7,0,2,2
24129,2024/11/10,32,24,9,19,10,13,9,10,13,19,24,32,1,107,17.83,27,3,3,0,1,1,3,3,0,5,10,1,1,23,8,1,1,2
24128,2024/11/7,13,1,18,26,8,20,1,8,13,18,20,26,16,86,14.33,26,2,4,-2,0,2,3,3,0,5,7,0,0,25,7,1,2,2
24127,2024/11/5,27,2,5,32,20,13,2,5,13,20,27,32,10,99,16.5,19,3,3,0,1,0,3,3,0,5,9,0,0,30,8,0,0,3
24126,2024/11/3,33,23,18,14,24,26,14,18,23,24,26,33,10,138,23,28,2,4,-2,0,2,5,1,4,4,8,1,1,19,7,1,2,1
24125,2024/10/31,18,4,30,1,13,26,1,4,13,18,26,30,3,92,15.33,22,2,4,-2,0,2,3,3,0,6,8,0,0,29,9,1,1,4
24124,2024/10/29,30,17,25,14,2,15,2,14,15,17,25,30,11,103,17.17,23,3,3,0,2,1,3,3,0,5,8,1,1,28,12,1,3,2
24123,2024/10/27,22,15,26,33,2,30,2,15,22,26,30,33,4,128,21.33,18,2,4,-2,0,2,4,2,2,5,7,0,0,31,13,0,0,2
24122,2024/10/24,7,9,16,17,5,29,5,7,9,16,17,29,15,83,13.83,43,5,1,4,3,0,2,4,-2,4,8,1,1,24,12,1,1,1
24121,2024/10/22,33,1,27,10,7,13,1,7,10,13,27,33,3,91,15.17,21,5,1,4,3,0,2,4,-2,4,5,0,0,32,14,1,2,1
24120,2024/10/20,7,18,11,19,1,5,1,5,7,11,18,19,7,61,10.17,31,5,1,4,3,0,2,4,-2,5,8,1,1,18,7,0,0,1
24119,2024/10/17,9,26,2,32,27,31,2,9,26,27,31,32,14,127,21.17,27,3,3,0,1,0,4,2,2,5,8,2,2,30,17,1,1,1
24118,2024/10/15,11,15,6,3,4,2,2,3,4,6,11,15,14,41,6.83,21,3,3,0,1,1,0,6,-6,6,6,2,1,13,5,0,1,4
24117,2024/10/13,3,12,29,14,32,16,3,12,14,16,29,32,12,106,17.67,26,2,4,-2,0,2,2,4,-2,5,8,0,0,29,13,1,1,3
24116,2024/10/10,31,22,20,32,1,15,1,15,20,22,31,32,3,121,20.17,11,3,3,0,1,1,4,2,2,4,10,1,1,31,14,0,0,1
24115,2024/10/8,3,10,27,11,19,28,3,10,11,19,27,28,7,98,16.33,28,4,2,2,2,0,3,3,0,6,4,2,2,25,8,1,2,3
24114,2024/10/6,32,27,18,7,11,24,7,11,18,24,27,32,4,119,19.83,29,3,3,0,1,1,4,2,2,5,10,0,0,25,7,1,1,3
24113,2024/9/29,24,31,26,23,4,5,4,5,23,24,26,31,11,113,18.83,23,3,3,0,1,1,4,2,2,5,8,2,2,27,18,0,0,3
24112,2024/9/26,25,32,29,16,11,8,8,11,16,25,29,32,3,121,20.17,31,3,3,0,1,0,3,3,0,6,8,0,0,24,9,0,1,2
24111,2024/9/24,22,12,4,30,1,11,1,4,11,12,22,30,16,80,13.33,10,2,4,-2,0,2,2,4,-2,4,6,1,1,29,10,0,1,2
24110,2024/9/22,17,33,23,13,4,25,4,13,17,23,25,33,14,115,19.17,25,5,1,4,4,0,4,2,2,4,8,0,0,29,9,1,2,3
24109,2024/9/19,29,4,28,3,33,24,3,4,24,28,29,33,9,121,20.17,31,3,3,0,1,2,4,2,2,4,6,2,2,30,20,0,1,2
24108,2024/9/17,30,23,1,9,24,8,1,8,9,23,24,30,8,95,15.83,25,3,3,0,1,1,3,3,0,6,6,2,2,29,14,1,2,1
24107,2024/9/15,1,17,6,19,13,8,1,6,8,13,17,19,9,64,10.67,34,4,2,2,2,1,2,4,-2,6,6,0,0,18,5,0,1,0
24106,2024/9/12,3,8,31,22,11,33,3,8,11,22,31,33,4,108,18,18,4,2,2,1,0,3,3,0,4,9,0,0,30,11,1,1,1
24105,2024/9/10,17,19,2,5,33,29,2,5,17,19,29,33,4,105,17.5,35,5,1,4,4,0,4,2,2,5,8,0,0,31,12,0,2,1
24104,2024/9/8,24,5,16,23,29,26,5,16,23,24,26,29,4,123,20.5,33,3,3,0,0,1,4,2,2,5,9,1,1,24,11,1,1,2
24103,2024/9/5,33,32,23,27,21,12,12,21,23,27,32,33,15,148,24.67,18,4,2,2,2,0,5,1,4,4,7,1,1,21,9,0,1,2
24102,2024/9/3,21,9,22,15,25,18,9,15,18,21,22,25,1,110,18.33,30,4,2,2,1,0,4,2,2,5,5,1,1,16,6,0,1,2
24101,2024/9/1,8,15,30,19,17,12,8,12,15,17,19,30,8,101,16.83,31,3,3,0,2,1,3,3,0,6,6,0,0,22,11,1,2,3
24100,2024/8/29,27,30,20,19,14,13,13,14,19,20,27,30,5,123,20.5,23,3,3,0,0,0,4,2,2,5,7,2,2,17,7,0,1,2
24099,2024/8/27,17,27,4,12,24,26,4,12,17,24,26,27,16,110,18.33,30,2,4,-2,0,2,4,2,2,4,10,1,1,23,8,0,0,1
24098,2024/8/25,3,30,31,8,20,10,3,8,10,20,30,31,2,102,17,12,2,4,-2,0,3,3,3,0,4,9,1,1,28,10,0,2,2
24097,2024/8/22,4,18,13,30,10,12,4,10,12,13,18,30,3,87,14.5,17,1,5,-4,0,3,2,4,-2,5,8,1,1,26,12,0,2,1
24096,2024/8/20,14,4,23,2,27,18,2,4,14,18,23,27,13,88,14.67,28,2,4,-2,1,3,3,3,0,5,8,0,0,25,10,0,2,0
24095,2024/8/18,6,9,21,4,14,16,4,6,9,14,16,21,3,70,11.67,30,2,4,-2,0,2,1,5,-4,4,4,0,0,17,5,0,1,3
24094,2024/8/15,6,17,25,27,22,13,6,13,17,22,25,27,9,110,18.33,30,4,2,2,2,0,4,2,2,5,9,0,0,21,7,0,0,2
24093,2024/8/13,5,11,1,12,15,7,1,5,7,11,12,15,12,51,8.5,21,5,1,4,3,0,0,6,-6,4,6,1,1,14,4,0,2,3
24092,2024/8/11,8,29,12,11,18,3,3,8,11,12,18,29,5,81,13.5,31,3,3,0,0,1,2,4,-2,5,10,1,1,26,11,0,0,2
24091,2024/8/8,15,16,13,19,20,24,13,15,16,19,20,24,10,107,17.83,27,3,3,0,1,1,3,3,0,6,5,2,2,11,4,0,1,1
24090,2024/8/6,11,32,24,17,7,31,7,11,17,24,31,32,12,122,20.33,22,4,2,2,2,0,4,2,2,4,9,1,1,25,7,0,1,3
24089,2024/8/4,9,6,15,18,31,3,3,6,9,15,18,31,1,82,13.67,32,4,2,2,1,0,2,4,-2,6,5,0,0,28,13,1,1,3
24088,2024/8/1,17,30,10,32,3,8,3,8,10,17,30,32,10,100,16.67,20,2,4,-2,0,2,3,3,0,5,7,0,0,29,13,1,1,3
24087,2024/7/30,18,9,19,3,26,20,3,9,18,19,20,26,11,95,15.83,35,3,3,0,1,1,4,2,2,5,7,2,1,23,9,0,2,4
24086,2024/7/28,19,20,25,17,23,31,17,19,20,23,25,31,2,135,22.5,25,5,1,4,3,0,6,0,6,6,5,1,1,14,6,0,1,1
24085,2024/7/25,27,21,23,1,15,5,1,5,15,21,23,27,15,92,15.33,22,6,0,6,5,0,3,3,0,4,7,0,0,26,10,1,1,0
24084,2024/7/23,8,1,29,13,10,19,1,8,10,13,19,29,13,80,13.33,30,4,2,2,2,1,2,4,-2,5,9,0,0,28,10,0,1,3
24083,2024/7/21,32,14,9,33,29,3,3,9,14,29,32,33,15,120,20,30,4,2,2,1,0,3,3,0,4,10,1,1,30,15,0,1,2
24082,2024/7/18,13,17,16,1,29,2,1,2,13,16,17,29,16,78,13,28,4,2,2,1,0,2,4,-2,6,6,2,2,28,12,1,2,3
24081,2024/7/16,23,12,6,25,1,17,1,6,12,17,23,25,4,84,14,24,4,2,2,2,1,3,3,0,6,6,0,0,24,6,1,2,1
24080,2024/7/14,30,29,27,11,6,12,6,11,12,27,29,30,13,115,19.17,25,3,3,0,1,0,3,3,0,6,8,2,2,24,15,0,1,2
24079,2024/7/11,26,7,16,3,2,6,2,3,6,7,16,26,4,60,10,30,2,4,-2,0,1,1,5,-4,4,7,2,2,24,10,1,1,1
24078,2024/7/9,26,14,5,9,22,21,5,9,14,21,22,26,12,97,16.17,27,3,3,0,1,1,3,3,0,6,6,1,1,21,7,0,2,2
24077,2024/7/7,14,1,6,17,22,4,1,4,6,14,17,22,8,64,10.67,24,2,4,-2,0,2,2,4,-2,5,5,0,0,21,8,0,1,1
24076,2024/7/4,29,27,24,22,32,3,3,22,24,27,29,32,15,137,22.83,27,3,3,0,1,1,5,1,4,5,6,0,0,29,19,1,2,2
24075,2024/7/2,8,5,3,18,28,22,3,5,8,18,22,28,1,84,14,34,2,4,-2,1,3,3,3,0,4,9,0,0,25,10,0,2,1
24074,2024/6/30,32,7,10,24,8,22,7,8,10,22,24,32,7,103,17.17,23,1,5,-4,0,4,3,3,0,5,8,1,1,25,12,0,0,2
24073,2024/6/27,30,3,28,9,18,12,3,9,12,18,28,30,1,100,16.67,30,2,4,-2,1,3,3,3,0,5,8,0,0,27,10,0,0,1
24072,2024/6/25,21,27,14,20,23,1,1,14,20,21,23,27,6,106,17.67,16,4,2,2,2,1,4,2,2,5,7,1,1,26,13,0,0,3
24071,2024/6/23,2,28,19,31,8,30,2,8,19,28,30,31,14,118,19.67,28,2,4,-2,0,2,4,2,2,5,9,1,1,29,11,0,1,1
24070,2024/6/20,13,18,4,28,22,20,4,13,18,20,22,28,5,105,17.5,25,1,5,-4,0,3,4,2,2,5,8,0,0,24,9,1,2,2
24069,2024/6/18,24,13,20,6,32,21,6,13,20,21,24,32,6,116,19.33,16,2,4,-2,0,1,4,2,2,6,7,1,1,26,8,0,2,3
24068,2024/6/16,7,19,21,20,1,2,1,2,7,19,20,21,1,70,11.67,20,4,2,2,1,0,3,3,0,5,6,3,2,20,12,1,1,1
24067,2024/6/13,11,1,17,13,29,25,1,11,13,17,25,29,3,96,16,26,6,0,6,5,0,3,3,0,5,6,0,0,28,10,0,0,3
24066,2024/6/11,12,32,8,9,26,22,8,9,12,22,26,32,13,109,18.17,29,1,5,-4,0,3,3,3,0,4,7,1,1,24,10,0,2,2
24065,2024/6/9,19,3,10,9,22,5,3,5,9,10,19,22,14,68,11.33,28,4,2,2,2,0,2,4,-2,5,10,1,1,19,9,0,0,3
24064,2024/6/6,30,8,18,6,17,28,6,8,17,18,28,30,5,107,17.83,37,1,5,-4,0,3,4,2,2,4,5,1,1,24,10,1,1,3
24063,2024/6/4,28,23,16,14,32,7,7,14,16,23,28,32,4,120,20,30,2,4,-2,0,2,3,3,0,6,6,0,0,25,7,0,2,1
24062,2024/6/2,10,7,18,27,1,16,1,7,10,16,18,27,16,79,13.17,29,3,3,0,1,2,2,4,-2,5,5,0,0,26,9,1,2,2
24061,2024/5/30,25,9,18,28,22,1,1,9,18,22,25,28,2,103,17.17,33,3,3,0,1,1,4,2,2,5,9,0,0,27,9,2,3,2
24060,2024/5/28,1,10,22,28,6,2,1,2,6,10,22,28,15,69,11.5,19,1,5,-4,0,4,2,4,-2,5,9,1,1,27,12,1,1,1
24059,2024/5/26,33,3,31,14,25,1,1,3,14,25,31,33,7,107,17.83,17,5,1,4,3,0,3,3,0,4,7,0,0,32,11,0,0,1
24058,2024/5/23,27,29,17,12,8,13,8,12,13,17,27,29,13,106,17.67,36,4,2,2,3,1,3,3,0,5,8,1,1,21,10,0,2,1
24057,2024/5/21,31,18,23,17,3,8,3,8,17,18,23,31,8,100,16.67,30,4,2,2,1,0,4,2,2,4,7,1,1,28,9,0,1,2
24056,2024/5/19,25,26,24,20,5,18,5,18,20,24,25,26,6,118,19.67,28,2,4,-2,0,2,5,1,4,5,7,2,1,21,13,0,0,1
24055,2024/5/16,16,7,29,4,6,2,2,4,6,7,16,29,3,64,10.67,34,2,4,-2,0,2,1,5,-4,5,9,1,1,27,13,0,0,1
24054,2024/5/14,20,32,25,13,31,8,8,13,20,25,31,32,3,129,21.5,19,3,3,0,1,0,4,2,2,6,6,1,1,24,7,0,0,4
24053,2024/5/12,28,33,7,22,14,21,7,14,21,22,28,33,7,125,20.83,25,3,3,0,0,1,4,2,2,6,7,1,1,26,7,1,2,2
24052,2024/5/9,17,11,15,10,7,21,7,10,11,15,17,21,3,81,13.5,21,5,1,4,3,0,2,4,-2,4,6,1,1,14,4,0,0,2
24051,2024/5/7,28,23,20,5,9,13,5,9,13,20,23,28,6,98,16.33,28,4,2,2,2,0,3,3,0,5,7,0,0,23,7,0,0,2
24050,2024/5/5,33,1,10,3,22,7,1,3,7,10,22,33,2,76,12.67,16,4,2,2,2,1,2,4,-2,5,10,0,0,32,12,0,0,2
24049,2024/5/2,15,32,17,26,12,23,12,15,17,23,26,32,11,125,20.83,25,3,3,0,2,1,4,2,2,5,6,0,0,20,6,1,2,0
24048,2024/4/30,19,28,15,2,9,26,2,9,15,19,26,28,2,99,16.5,39,3,3,0,2,1,3,3,0,5,7,0,0,26,7,0,1,2
24047,2024/4/28,7,8,29,21,26,30,7,8,21,26,29,30,15,121,20.17,31,3,3,0,0,0,4,2,2,6,8,2,2,23,13,0,1,2
24046,2024/4/25,6,2,10,17,11,29,2,6,10,11,17,29,15,75,12.5,25,3,3,0,2,2,2,4,-2,6,9,1,1,27,12,1,1,0
24045,2024/4/23,8,23,24,19,2,26,2,8,19,23,24,26,3,102,17,32,2,4,-2,1,2,4,2,2,6,10,1,1,24,11,1,1,2
24044,2024/4/21,2,33,32,17,25,6,2,6,17,25,32,33,6,115,19.17,25,3,3,0,1,1,4,2,2,5,8,1,1,31,11,1,1,2
24043,2024/4/18,4,24,15,6,7,14,4,6,7,14,15,24,8,70,11.67,30,2,4,-2,0,1,1,5,-4,4,6,2,2,20,9,1,2,3
24042,2024/4/16,2,26,32,5,14,4,2,4,5,14,26,32,14,83,13.83,23,1,5,-4,0,3,2,4,-2,4,9,1,1,30,12,1,1,2
24041,2024/4/14,33,2,9,22,12,25,2,9,12,22,25,33,16,103,17.17,23,3,3,0,1,1,3,3,0,4,7,0,0,31,10,0,0,3
24040,2024/4/11,14,18,26,11,23,19,11,14,18,19,23,26,2,111,18.5,31,3,3,0,1,1,4,2,2,6,4,1,1,15,4,0,0,1
24039,2024/4/9,29,6,2,31,12,30,2,6,12,29,30,31,10,110,18.33,20,2,4,-2,0,2,3,3,0,5,9,2,1,29,17,1,1,1
24038,2024/4/7,27,8,31,23,10,18,8,10,18,23,27,31,2,117,19.5,27,3,3,0,2,2,4,2,2,5,7,0,0,23,8,0,0,0
24037,2024/4/4,14,12,6,5,1,4,1,4,5,6,12,14,13,42,7,22,2,4,-2,0,2,0,6,-6,5,7,2,1,13,6,0,1,1
24036,2024/4/2,8,31,9,2,21,12,2,8,9,12,21,31,2,83,13.83,23,3,3,0,1,1,2,4,-2,4,8,1,1,29,10,0,0,3
24035,2024/3/31,5,22,17,14,32,7,5,7,14,17,22,32,6,97,16.17,27,3,3,0,1,1,3,3,0,4,8,0,0,27,10,0,0,2
24034,2024/3/28,12,2,31,9,19,21,2,9,12,19,21,31,4,94,15.67,24,4,2,2,2,0,3,3,0,3,5,0,0,29,10,0,0,5
24033,2024/3/26,18,6,20,10,32,11,6,10,11,18,20,32,5,97,16.17,17,1,5,-4,0,3,3,3,0,5,8,1,1,26,12,0,1,3
24032,2024/3/24,1,4,12,3,21,11,1,3,4,11,12,21,16,52,8.67,12,4,2,2,1,0,1,5,-4,4,6,2,2,20,9,0,0,2
24031,2024/3/21,10,30,13,32,25,9,9,10,13,25,30,32,2,119,19.83,19,3,3,0,1,1,3,3,0,5,10,1,1,23,12,1,1,3
24030,2024/3/19,22,25,33,29,8,1,1,8,22,25,29,33,10,118,19.67,28,4,2,2,2,1,4,2,2,6,7,0,0,32,14,2,2,2
24029,2024/3/17,25,33,28,23,18,12,12,18,23,25,28,33,4,139,23.17,29,3,3,0,1,1,5,1,4,4,7,0,0,21,6,0,1,2
24028,2024/3/14,19,3,18,11,7,8,3,7,8,11,18,19,5,66,11,36,4,2,2,1,0,2,4,-2,5,6,2,2,16,7,0,0,2
24027,2024/3/12,2,32,13,27,28,6,2,6,13,27,28,32,13,108,18,28,2,4,-2,1,2,3,3,0,5,8,1,1,30,14,0,0,1
24026,2024/3/10,7,20,25,18,19,4,4,7,18,19,20,25,6,93,15.5,33,3,3,0,0,0,4,2,2,6,9,2,1,21,11,0,1,2
