No,Date,O1,O2,O3,O4,O5,R1,R2,R3,R4,R5,B1,B2,和值,平均值,尾数和值 ,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
8002,2008/1/5,1,12,24,31,32,1,12,24,31,32,10,12,100,20,10,2,3,-1,0,1,3,2,1,3,6,1,1,31,12,1,1,2
8003,2008/1/7,1,11,13,32,35,1,11,13,32,35,2,7,92,18.4,12,4,1,3,2,0,2,3,-1,4,6,0,0,34,19,1,2,3
8004,2008/1/9,9,22,24,31,33,9,22,24,31,33,8,9,119,23.8,19,3,2,1,1,1,4,1,3,5,4,0,0,24,13,0,0,2
8005,2008/1/12,18,25,29,31,34,18,25,29,31,34,9,10,137,27.4,27,3,2,1,2,0,5,0,5,5,6,0,0,16,7,1,1,2
8006,2008/1/14,10,12,26,29,34,10,12,26,29,34,5,7,111,22.2,21,1,4,-3,0,2,3,2,1,5,6,0,0,24,14,1,2,1
8007,2008/1/16,3,4,5,12,28,3,4,5,12,28,3,12,52,10.4,22,2,3,-1,0,1,1,4,-3,5,5,2,1,25,16,0,1,1
8008,2008/1/19,2,6,8,17,32,2,6,8,17,32,8,9,65,13,25,1,4,-3,0,2,1,4,-3,4,5,0,0,30,15,0,0,2
8009,2008/1/21,4,8,12,24,30,4,8,12,24,30,5,8,78,15.6,18,0,5,-5,0,4,2,3,-1,4,5,0,0,26,12,0,1,0
8010,2008/1/23,6,23,24,27,29,6,23,24,27,29,6,8,109,21.8,29,3,2,1,1,0,4,1,3,5,6,1,1,23,17,0,1,2
8011,2008/1/26,14,20,22,24,27,14,20,22,24,27,7,10,107,21.4,17,1,4,-3,0,3,4,1,3,4,5,0,0,13,6,0,2,2
8012,2008/1/28,2,10,29,32,35,2,10,29,32,35,2,3,108,21.6,18,2,3,-1,0,1,3,2,1,4,5,0,0,33,19,0,0,0
8013,2008/1/30,1,11,19,22,35,1,11,19,22,35,5,9,88,17.6,18,4,1,3,2,0,3,2,1,4,6,0,0,34,13,1,1,2
8014,2008/2/2,4,7,10,28,34,4,7,10,28,34,1,6,83,16.6,23,1,4,-3,0,2,2,3,-1,4,3,0,0,30,18,0,0,2
8015,2008/2/4,9,18,20,27,33,9,18,20,27,33,6,9,107,21.4,27,3,2,1,1,1,4,1,3,5,5,0,0,24,9,0,0,3
8016,2008/2/13,8,10,11,17,19,8,10,11,17,19,6,9,65,13,25,3,2,1,2,1,1,4,-3,5,4,1,1,11,6,0,0,4
8017,2008/2/16,2,14,25,29,32,2,14,25,29,32,1,6,102,20.4,22,2,3,-1,1,1,3,2,1,4,6,0,0,30,12,0,0,0
8018,2008/2/18,3,6,7,11,30,3,6,7,11,30,2,3,57,11.4,17,3,2,1,1,0,1,4,-3,5,5,1,1,27,19,0,0,2
8019,2008/2/20,8,24,25,29,31,8,24,25,29,31,4,5,117,23.4,27,3,2,1,2,1,4,1,3,5,6,1,1,23,16,0,0,3
8020,2008/2/23,4,5,15,17,33,4,5,15,17,33,4,8,74,14.8,24,4,1,3,3,0,1,4,-3,4,6,1,1,29,16,0,0,0
8021,2008/2/25,5,10,13,21,24,5,10,13,21,24,4,9,73,14.6,13,3,2,1,1,0,2,3,-1,5,3,0,0,19,8,0,1,1
8022,2008/2/27,9,12,13,25,31,9,12,13,25,31,8,10,90,18,20,4,1,3,2,0,2,3,-1,5,6,1,1,22,12,1,1,3
8023,2008/3/1,6,26,31,32,34,6,26,31,32,34,7,10,129,25.8,19,1,4,-3,0,2,4,1,3,4,6,1,1,28,20,0,1,2
8024,2008/3/3,8,12,17,20,30,8,12,17,20,30,1,2,87,17.4,17,1,4,-3,0,2,2,3,-1,4,6,0,0,22,10,0,0,1
8025,2008/3/5,6,10,12,15,28,6,10,12,15,28,4,12,71,14.2,21,1,4,-3,0,2,1,4,-3,5,6,0,0,22,13,0,1,0
8026,2008/3/8,1,21,22,24,25,1,21,22,24,25,8,10,93,18.6,13,3,2,1,1,1,4,1,3,4,4,2,2,24,20,0,0,0
8027,2008/3/10,5,17,23,31,32,5,17,23,31,32,4,8,108,21.6,18,4,1,3,3,0,3,2,1,5,6,1,1,27,12,0,0,1
8028,2008/3/12,3,11,17,19,26,3,11,17,19,26,7,12,76,15.2,26,4,1,3,3,0,2,3,-1,5,5,0,0,23,8,0,1,0
8029,2008/3/15,6,11,18,29,30,6,11,18,29,30,4,11,94,18.8,24,2,3,-1,0,0,3,2,1,5,5,1,1,24,11,1,1,1
8030,2008/3/17,3,21,23,26,35,3,21,23,26,35,5,8,108,21.6,18,4,1,3,2,0,4,1,3,4,6,0,0,32,18,0,0,0
8031,2008/3/19,14,20,23,27,28,14,20,23,27,28,2,4,112,22.4,22,2,3,-1,1,1,4,1,3,5,6,1,1,14,6,1,1,2
8032,2008/3/22,3,9,19,27,33,3,9,19,27,33,9,10,91,18.2,31,5,0,5,4,0,3,2,1,3,4,0,0,30,10,1,1,2
8033,2008/3/24,3,10,21,23,30,3,10,21,23,30,1,9,87,17.4,7,3,2,1,1,0,3,2,1,3,4,0,0,27,11,1,1,1
8034,2008/3/26,6,7,18,34,35,6,7,18,34,35,5,10,100,20,30,2,3,-1,0,1,3,2,1,5,4,2,2,29,16,0,0,0
8035,2008/3/29,2,12,13,29,30,2,12,13,29,30,5,7,86,17.2,16,2,3,-1,1,1,2,3,-1,4,4,2,2,28,16,0,0,0
8036,2008/3/31,9,19,22,30,32,9,19,22,30,32,1,10,112,22.4,22,2,3,-1,1,2,4,1,3,3,4,0,0,23,10,0,1,1
8037,2008/4/2,11,20,24,31,35,11,20,24,31,35,4,10,121,24.2,11,3,2,1,1,1,4,1,3,4,4,0,0,24,9,0,0,2
8038,2008/4/5,12,13,19,32,33,12,13,19,32,33,2,10,109,21.8,19,3,2,1,1,0,3,2,1,3,4,2,2,21,13,0,0,3
8039,2008/4/7,7,11,15,27,35,7,11,15,27,35,4,7,95,19,25,5,0,5,4,0,2,3,-1,3,3,0,0,28,12,0,0,1
8040,2008/4/9,4,8,19,22,29,4,8,19,22,29,8,11,82,16.4,32,2,3,-1,0,1,3,2,1,4,6,0,0,25,11,0,0,1
8041,2008/4/12,7,17,21,22,28,7,17,21,22,28,5,10,95,19,25,3,2,1,2,1,3,2,1,4,6,1,1,21,10,1,1,3
8042,2008/4/14,5,10,13,32,35,5,10,13,32,35,4,5,95,19,15,3,2,1,0,0,2,3,-1,4,4,0,0,30,19,0,0,0
8043,2008/4/16,5,8,10,31,33,5,8,10,31,33,2,4,87,17.4,17,3,2,1,1,1,2,3,-1,5,4,0,0,28,21,1,2,2
8044,2008/4/19,2,21,23,27,32,2,21,23,27,32,10,11,105,21,15,3,2,1,2,0,4,1,3,4,6,0,0,30,19,0,0,1
8045,2008/4/21,14,32,33,34,35,14,32,33,34,35,2,4,148,29.6,18,2,3,-1,0,1,4,1,3,4,3,3,1,21,18,0,1,1
8046,2008/4/23,11,25,26,27,35,11,25,26,27,35,7,8,124,24.8,24,4,1,3,2,0,4,1,3,4,5,2,1,24,14,1,1,1
8047,2008/4/26,12,18,22,23,30,12,18,22,23,30,6,12,105,21,15,1,4,-3,0,2,4,1,3,4,6,1,1,18,7,0,0,1
8048,2008/4/28,1,13,22,25,27,1,13,22,25,27,2,10,88,17.6,18,4,1,3,2,0,3,2,1,5,5,0,0,26,12,1,1,2
8049,2008/4/30,1,11,14,28,30,1,11,14,28,30,3,10,84,16.8,14,2,3,-1,1,2,2,3,-1,4,6,0,0,29,14,1,1,2
8050,2008/5/3,1,5,11,26,27,1,5,11,26,27,3,7,70,14,20,4,1,3,2,0,2,3,-1,4,6,1,1,26,15,1,2,1
8051,2008/5/5,1,7,9,11,33,1,7,9,11,33,3,11,61,12.2,21,5,0,5,4,0,1,4,-3,4,5,0,0,32,22,1,2,0
8052,2008/5/7,3,18,19,30,35,3,18,19,30,35,5,9,105,21,25,3,2,1,0,0,4,1,3,5,5,1,1,32,15,0,0,0
8053,2008/5/10,1,13,21,23,32,1,13,21,23,32,3,6,90,18,10,4,1,3,3,0,3,2,1,3,6,0,0,31,12,0,0,0
8054,2008/5/12,5,14,23,31,35,5,14,23,31,35,2,6,108,21.6,18,4,1,3,2,0,3,2,1,4,5,0,0,30,9,0,1,2
8055,2008/5/14,2,14,28,30,35,2,14,28,30,35,4,12,109,21.8,19,1,4,-3,0,3,3,2,1,5,6,0,0,33,14,2,2,1
8056,2008/5/17,15,19,25,30,31,15,19,25,30,31,3,9,120,24,20,4,1,3,2,0,4,1,3,4,5,1,1,16,6,1,1,2
8057,2008/5/19,5,8,9,17,33,5,8,9,17,33,5,6,72,14.4,32,4,1,3,2,0,1,4,-3,5,6,1,1,28,16,0,0,0
8058,2008/5/21,3,9,11,29,33,3,9,11,29,33,3,12,85,17,25,5,0,5,4,0,2,3,-1,3,6,0,0,30,18,1,2,1
8059,2008/5/24,7,13,21,25,31,7,13,21,25,31,8,10,97,19.4,17,5,0,5,4,0,3,2,1,4,4,0,0,24,8,0,0,0
8060,2008/5/26,3,13,17,23,30,3,13,17,23,30,1,11,86,17.2,16,4,1,3,3,0,2,3,-1,3,5,0,0,27,10,1,1,1
8061,2008/5/28,7,10,14,19,32,7,10,14,19,32,3,6,82,16.4,22,2,3,-1,0,1,2,3,-1,5,6,0,0,25,13,0,0,1
8062,2008/5/31,1,15,27,28,29,1,15,27,28,29,3,10,100,20,30,4,1,3,2,0,3,2,1,5,4,2,1,28,14,0,0,1
8063,2008/6/2,7,11,24,30,35,7,11,24,30,35,6,8,107,21.4,17,3,2,1,1,1,3,2,1,5,6,0,0,28,13,0,0,1
8064,2008/6/4,14,18,24,27,31,14,18,24,27,31,6,7,114,22.8,24,2,3,-1,1,2,4,1,3,4,4,0,0,17,6,1,1,1
8065,2008/6/7,19,22,23,25,32,19,22,23,25,32,6,12,121,24.2,21,3,2,1,1,0,5,0,5,4,5,1,1,13,7,0,0,4
8066,2008/6/9,2,7,21,22,25,2,7,21,22,25,4,12,77,15.4,17,3,2,1,1,0,3,2,1,4,6,1,1,23,14,0,2,2
8067,2008/6/11,3,10,14,15,22,3,10,14,15,22,4,7,64,12.8,14,2,3,-1,0,1,1,4,-3,5,4,1,1,19,7,0,1,2
8068,2008/6/14,6,9,11,33,34,6,9,11,33,34,6,10,93,18.6,23,3,2,1,2,0,2,3,-1,5,6,1,1,28,22,0,0,2
8069,2008/6/16,13,29,5,16,33,5,13,16,29,33,6,8,96,19.2,26,4,1,3,2,0,2,3,-1,4,6,0,0,28,13,0,1,2
8070,2008/6/18,31,17,21,9,18,9,17,18,21,31,1,5,96,19.2,26,4,1,3,2,0,3,2,1,4,6,1,1,22,10,0,0,1
8071,2008/6/21,25,11,1,14,5,1,5,11,14,25,1,9,56,11.2,16,4,1,3,2,0,1,4,-3,3,6,0,0,24,11,0,0,0
8072,2008/6/23,34,10,33,25,32,10,25,32,33,34,3,9,134,26.8,14,2,3,-1,0,0,4,1,3,5,5,2,1,24,15,0,1,1
8073,2008/6/25,2,5,31,6,7,2,5,6,7,31,8,10,51,10.2,21,3,2,1,1,0,1,4,-3,5,5,2,1,29,24,0,0,1
8074,2008/6/28,35,13,10,22,31,10,13,22,31,35,4,12,111,22.2,11,3,2,1,1,0,3,2,1,5,5,0,0,25,9,0,1,0
8075,2008/6/30,33,30,1,13,10,1,10,13,30,33,6,7,87,17.4,7,3,2,1,0,0,2,3,-1,3,4,0,0,32,17,0,2,1
8076,2008/7/2,10,27,5,34,3,3,5,10,27,34,1,12,79,15.8,19,3,2,1,1,0,2,3,-1,5,4,0,0,31,17,0,1,1
8077,2008/7/5,8,33,1,21,34,1,8,21,33,34,5,7,97,19.4,17,3,2,1,1,0,3,2,1,4,5,1,1,33,13,1,1,1
8078,2008/7/7,8,31,20,17,28,8,17,20,28,31,7,11,104,20.8,24,2,3,-1,0,1,3,2,1,4,4,0,0,23,9,0,1,1
8079,2008/7/9,26,32,23,20,33,20,23,26,32,33,5,12,134,26.8,14,2,3,-1,0,1,5,0,5,4,4,1,1,13,6,0,1,1
8080,2008/7/12,9,33,31,6,29,6,9,29,31,33,5,11,108,21.6,28,4,1,3,3,0,3,2,1,4,5,0,0,27,20,1,1,2
8081,2008/7/14,20,8,29,22,7,7,8,20,22,29,4,7,86,17.2,26,2,3,-1,0,2,3,2,1,5,6,1,1,22,12,0,1,2
8082,2008/7/16,35,33,19,29,15,15,19,29,33,35,1,2,131,26.2,31,5,0,5,4,0,4,1,3,3,4,0,0,20,10,0,1,1
8083,2008/7/19,30,6,14,15,31,6,14,15,30,31,3,10,96,19.2,16,2,3,-1,0,1,2,3,-1,5,4,2,2,25,15,0,1,2
8084,2008/7/21,20,25,22,2,17,2,17,20,22,25,5,11,86,17.2,16,2,3,-1,0,1,3,2,1,4,4,0,0,23,15,0,0,0
8085,2008/7/23,15,7,3,13,19,3,7,13,15,19,2,10,57,11.4,27,5,0,5,4,0,1,4,-3,4,3,0,0,16,6,0,0,2
8086,2008/7/26,35,6,10,22,1,1,6,10,22,35,3,7,74,14.8,14,2,3,-1,0,2,2,3,-1,5,6,0,0,34,13,0,0,1
